Date,Open,High,Low,Close,Adj Close,Volume
2022-04-21,52800.000000,53400.000000,52500.000000,53000.000000,53000.000000,177180
2022-04-22,52300.000000,52700.000000,52100.000000,52400.000000,52400.000000,196428
2022-04-25,51200.000000,52700.000000,51100.000000,51700.000000,51700.000000,243310
2022-04-26,52200.000000,53000.000000,51600.000000,52500.000000,52500.000000,268312
2022-04-27,51400.000000,52700.000000,51200.000000,52400.000000,52400.000000,301816
2022-04-28,52700.000000,53000.000000,51700.000000,53000.000000,53000.000000,267937
2022-04-29,53000.000000,53400.000000,52300.000000,53300.000000,53300.000000,370676
2022-05-02,52900.000000,55900.000000,52900.000000,54500.000000,54500.000000,842732
2022-05-03,54900.000000,56400.000000,54200.000000,56000.000000,56000.000000,642321
2022-05-04,56300.000000,57600.000000,55500.000000,57000.000000,57000.000000,631523
2022-05-06,56300.000000,57500.000000,56000.000000,57000.000000,57000.000000,347886
2022-05-10,55000.000000,55900.000000,53800.000000,55400.000000,55400.000000,430475
2022-05-11,55400.000000,55400.000000,52600.000000,52600.000000,52600.000000,500438
2022-05-12,52400.000000,53400.000000,52100.000000,52200.000000,52200.000000,341501
2022-05-13,52400.000000,53000.000000,51800.000000,52900.000000,52900.000000,187482
2022-05-16,53600.000000,53700.000000,52200.000000,52300.000000,52300.000000,240844
2022-05-17,52300.000000,53000.000000,51700.000000,52300.000000,52300.000000,209257
2022-05-18,52700.000000,52700.000000,51500.000000,51600.000000,51600.000000,263538
2022-05-19,50400.000000,51100.000000,50300.000000,50800.000000,50800.000000,276183
2022-05-20,51000.000000,51700.000000,50700.000000,51200.000000,51200.000000,250916
2022-05-23,52300.000000,52900.000000,51500.000000,52100.000000,52100.000000,249769
2022-05-24,52000.000000,52500.000000,50800.000000,51000.000000,51000.000000,218440
2022-05-25,51400.000000,52200.000000,51000.000000,51600.000000,51600.000000,315018
2022-05-26,52200.000000,53600.000000,51800.000000,53200.000000,53200.000000,433697
2022-05-27,53600.000000,53700.000000,52200.000000,52300.000000,52300.000000,249195
2022-05-30,52800.000000,54300.000000,52700.000000,53800.000000,53800.000000,309950
2022-05-31,53800.000000,53900.000000,53300.000000,53900.000000,53900.000000,232963
2022-06-02,54200.000000,56200.000000,53900.000000,55900.000000,55900.000000,683977
2022-06-03,56100.000000,56300.000000,54900.000000,56100.000000,56100.000000,320556
2022-06-07,56300.000000,57800.000000,56200.000000,57000.000000,57000.000000,682014
2022-06-08,57700.000000,57700.000000,55600.000000,57200.000000,57200.000000,398697
2022-06-09,57000.000000,59400.000000,56500.000000,59200.000000,59200.000000,883960
2022-06-10,58800.000000,60800.000000,58500.000000,59100.000000,59100.000000,860969
2022-06-13,58300.000000,59500.000000,57600.000000,57700.000000,57700.000000,685394
2022-06-14,56900.000000,57400.000000,55300.000000,56900.000000,56900.000000,609292
2022-06-15,57400.000000,57700.000000,53100.000000,53500.000000,53500.000000,852936
2022-06-16,52400.000000,53800.000000,51400.000000,52400.000000,52400.000000,821477
2022-06-17,51000.000000,52000.000000,50600.000000,51200.000000,51200.000000,552035
2022-06-20,53100.000000,53200.000000,50200.000000,51300.000000,51300.000000,649828
2022-06-21,51600.000000,52100.000000,49350.000000,51700.000000,51700.000000,910551
2022-06-22,52200.000000,52300.000000,46800.000000,46800.000000,46800.000000,1220522
2022-06-23,46600.000000,47650.000000,44800.000000,44900.000000,44900.000000,784053
2022-06-24,44800.000000,47600.000000,44800.000000,46950.000000,46950.000000,616447
2022-06-27,47550.000000,48350.000000,46950.000000,47800.000000,47800.000000,336936
2022-06-28,47800.000000,49550.000000,47800.000000,49350.000000,49350.000000,392637
